tag,config_id,variant,label,seed,run,offered,refused,received,pdr,goodput_kbps,delay_ms,jitter_ms,hops,control_packets,control_bytes,nrl
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r30,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,30,7190,0,6955,0.9673157162726008,158.56455445872945,20.185383177570092,16.90174514038877,2.255499640546369,18916,954740,2.7197699496764915
odr_n50_v10_p0_f10_d3d689e9_s1_r11,d3d689e9,odr,odr,1,11,7182,0,7049,0.9814814814814815,160.89205048263452,54.89156617959994,13.837236823412416,2.124131082423039,6039,311580,0.8567172648602639
odr_n50_v10_p0_f10_d3d689e9_s1_r12,d3d689e9,odr,odr,1,12,7184,0,6519,0.9074331848552338,148.75421195547455,26.5876560822212,16.066550929482258,2.619420156465716,8383,432016,1.2859334253719896
odr_n50_v10_p0_f10_d3d689e9_s1_r13,d3d689e9,odr,odr,1,13,7191,0,6899,0.9593936865526352,157.29552623431653,23.70405276126975,19.069687908259546,2.959414407885201,9512,491056,1.3787505435570373
odr_n50_v10_p0_f10_d3d689e9_s1_r14,d3d689e9,odr,odr,1,14,7183,0,6264,0.8720590282611722,143.01778238552993,17.51690932311622,12.559143907898944,3.0145274584929758,6703,345340,1.0700830140485313
odr_n50_v10_p0_f10_d3d689e9_s1_r15,d3d689e9,odr,odr,1,15,7182,0,7051,0.9817599554441659,160.99246417719692,12.982996596227485,10.807717937792926,2.2254999290880724,5960,307472,0.8452701744433414
odr_n50_v10_p0_f10_d3d689e9_s1_r16,d3d689e9,odr,odr,1,16,7185,0,7001,0.9743910925539317,159.7736765135633,10.195783602342525,7.530014161064226,1.951149835737752,4003,206748,0.5717754606484788
odr_n50_v10_p0_f10_d3d689e9_s1_r17,d3d689e9,odr,odr,1,17,7186,0,6621,0.9213748956303924,151.06641693430038,24.702931581332127,16.48903448797459,2.814982631022504,6675,343816,1.008155867693702
odr_n50_v10_p0_f10_d3d689e9_s1_r18,d3d689e9,odr,odr,1,18,7183,0,7052,0.9817624947793401,160.99441682634134,14.800972773681226,10.99031667140017,2.294526375496313,6174,318436,0.875496313102666
odr_n50_v10_p0_f10_d3d689e9_s1_r19,d3d689e9,odr,odr,1,19,7186,0,6986,0.9721681046479266,159.35589321577908,17.788757515030063,13.54771502293578,3.0918980818780417,8134,418812,1.1643286573146292
odr_n50_v10_p0_f10_d3d689e9_s1_r20,d3d689e9,odr,odr,1,20,7182,0,7004,0.9752158173210804,159.89298309669277,40.636676185037125,11.983047040320272,2.8679326099371787,7197,370140,1.0275556824671617
odr_n50_v10_p0_f10_d3d689e9_s1_r21,d3d689e9,odr,odr,1,21,7194,0,6991,0.97178204058938,159.34575088516803,17.34898655414104,12.604689872511104,2.710914032327278,6724,345832,0.9618080389071664
odr_n50_v10_p0_f10_d3d689e9_s1_r22,d3d689e9,odr,odr,1,22,7190,0,7020,0.9763560500695411,160.09606264843134,13.61630512820513,9.88193152639087,2.4566951566951567,5351,275904,0.7622507122507123
odr_n50_v10_p0_f10_d3d689e9_s1_r23,d3d689e9,odr,odr,1,23,7188,0,6566,0.9134668892598776,149.78065660156412,20.486548888212,14.904306894447833,3.0376180322875417,7829,402572,1.1923545537618032
odr_n50_v10_p0_f10_d3d689e9_s1_r24,d3d689e9,odr,odr,1,24,7184,0,6743,0.9386135857461024,153.89162035666627,14.155548123980426,10.52626748848953,2.3852884472786595,6104,315196,0.9052350585792673
odr_n50_v10_p0_f10_d3d689e9_s1_r25,d3d689e9,odr,odr,1,25,7186,0,6249,0.8696075702755358,142.59366897395844,37.442955672907665,25.170988940535345,3.3413346135381663,10695,550192,1.7114738358137302
odr_n50_v10_p0_f10_d3d689e9_s1_r26,d3d689e9,odr,odr,1,26,7182,0,6783,0.9444444444444444,154.843836204904,10.570365619932184,7.829032924848665,2.7142857142857144,6008,310120,0.8857437711926877
odr_n50_v10_p0_f10_d3d689e9_s1_r27,d3d689e9,odr,odr,1,27,7188,0,6975,0.9703672787979967,159.10060258635508,10.652982078853045,7.119419956927494,2.9891039426523296,5153,265208,0.7387813620071685
odr_n50_v10_p0_f10_d3d689e9_s1_r28,d3d689e9,odr,odr,1,28,7188,0,6923,0.9631329994435169,157.89506274801056,49.697862198468876,14.775849848112257,2.8959988444316047,7023,362192,1.0144446049400548
odr_n50_v10_p0_f10_d3d689e9_s1_r29,d3d689e9,odr,odr,1,29,7185,0,7047,0.9807933194154489,160.80478971642202,13.228680289484887,9.812702998436833,2.641833404285512,5680,292152,0.8060167447140627
odr_n50_v10_p0_f10_d3d689e9_s1_r30,d3d689e9,odr,odr,1,30,7190,0,7029,0.9776077885952712,160.25490153842978,15.67647517427799,11.174905656076362,2.2577891591976096,5553,286724,0.7900128040973111
